citing_work_id,cited_work_id,source,scholar_source_url,scholar_retrieved_at
W7154605970,W4413754711,OpenAlex,,
W7131618216,W4413754711,OpenAlex,,
W7164987453,W4413754711,OpenAlex,,
W4408960580,W4399709078,OpenAlex,,
W4416747394,W4399709078,OpenAlex,,
W4408973948,W4399709078,OpenAlex,,
W4413754711,W4399709078,OpenAlex,,
W4412533860,W4399709078,OpenAlex,,
W4400584655,W4399709078,OpenAlex,,
W4402577629,W4399709078,OpenAlex,,
W4416427853,W4399709078,OpenAlex,,
W7155051385,W4399709078,OpenAlex,,
W7163748389,W4399709078,OpenAlex,,
W7165128626,W4399709078,OpenAlex,,
W4413754711,W4376479136,OpenAlex,,
W7166318156,W4376479136,OpenAlex,,
W4407019097,W3202625584,OpenAlex; Google Scholar,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11079227468890272109,2026-09-09T13:48:50.648911+00:00
W4313043169,W3202625584,OpenAlex,,
W7117985712,W3202625584,OpenAlex,,
W4397026601,W4390829281,OpenAlex; Google Scholar,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9194898683237041119,2026-09-09T13:48:44.212585+00:00
W4393188243,W4390829281,OpenAlex,,
W4416202049,W4390829281,OpenAlex,,
W7127962472,W4390829281,OpenAlex,,
W7124941333,W4390829281,OpenAlex,,
W4412605216,W4390829281,OpenAlex,,
W4412985535,W4390829281,OpenAlex,,
W7154682570,W4390829281,OpenAlex,,
W7162212290,W4390829281,OpenAlex,,
W4409524339,W4388740257,OpenAlex,,
W7114924552,W4388740257,OpenAlex,,
W4404563370,W4388740257,OpenAlex,,
W4410226400,W4388740257,OpenAlex,,
W4415220578,W4388740257,OpenAlex,,
W4411018076,W4388740257,OpenAlex,,
W7206203312,W4388740257,OpenAlex; Google Scholar,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6210036472641191013,2026-09-09T13:48:45.752801+00:00
W4402810904,W4316660809,OpenAlex,,
W4405421706,W4316660809,OpenAlex,,
W4415624368,W4316660809,OpenAlex,,
W4388740257,W4316660809,OpenAlex,,
W4412072274,W4316660809,OpenAlex; Google Scholar,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17982578804515414946,2026-09-09T13:48:40.940236+00:00
W4406802685,W4316660809,OpenAlex,,
W4415220578,W4316660809,OpenAlex,,
W6903285081,W4316660809,OpenAlex; Google Scholar,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17982578804515414946,2026-09-09T13:48:40.940825+00:00
W7130653856,W4316660809,OpenAlex,,
W4391095559,W4316660809,OpenAlex,,
W7160597376,W4316660809,OpenAlex,,
W7160960716,W4316660809,OpenAlex,,
W7206203312,W4316660809,OpenAlex; Google Scholar,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17982578804515414946,2026-09-09T13:48:40.940518+00:00
W4388562407,W4388579581,OpenAlex,,
W4411055426,W4388579581,OpenAlex,,
W4393188243,W4388579581,OpenAlex,,
W4396930200,W4388579581,OpenAlex,,
W4410770862,W4388579581,OpenAlex,,
W4407865237,W4388579581,OpenAlex,,
W7172428666,W4388579581,OpenAlex; Google Scholar,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5565069619425376379,2026-09-09T13:48:47.415105+00:00
W4414533421,W4393188243,OpenAlex,,
W4396985488,W4393188243,OpenAlex,,
W7164004175,W4393188243,OpenAlex,,
W7172428666,W4393188243,OpenAlex,,
W7197003632,W4413754711,Google Scholar,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10373990695958943321,2026-09-09T13:48:49.000447+00:00
