citing_work_id,title,doi,year,publication_date,publication_metadata_note,type,authors,institutions,countries,states_provinces,cited_target_ids,is_direct_self_citation,has_coauthor_overlap,is_non_research_record,authorships_truncated,geography_complete,is_retracted,source,source_url
W7154682570,A Model‐Free Non‐Zero‐Sum Game Framework for Safe and Optimal Vehicle Platooning Control,10.1002/rnc.70552,2026,2026-04-17,,article,"[""J T Liu"", ""Fei Chen"", ""Jing Yuan""]","[""Nankai University""]","[""CN""]","[""Tianjin""]","[""W4390829281""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7154682570
W7206203312,A hierarchical multi-task learning-based electrical energy consumption prediction method with application to the hot strip rolling mill process,10.1016/j.eswa.2026.134256,2026,2026-09-02,,article,"[""Kai Zhang"", ""Zongxu Cao"", ""Kaixiang Peng"", ""Yibin Rui""]","[""Taiyuan Heavy Industry (China)"", ""University of Science and Technology Beijing""]","[""CN""]","[""Beijing"", ""Shanxi""]","[""W4316660809"", ""W4388740257""]",False,False,False,,True,False,Google Scholar; OpenAlex,https://openalex.org/W7206203312
W7127962472,A novel model predictive control law for over-actuated space cable-driven manipulators,10.1016/j.conengprac.2026.106819,2026,2026-02-05,,article,"[""Wenlong Lin"", ""Wanquan Liu"", ""Xiangxiang Zou"", ""Deshan Meng"", ""Hui-Jie Sun"", ""Ping Wang"", ""Muhammad Imran""]","[""Central South University"", ""Harbin Institute of Technology"", ""National University of Sciences and Technology"", ""Sun Yat-sen University""]","[""CN"", ""PK""]","[""Guangdong"", ""Heilongjiang"", ""Hunan"", ""Islamabad""]","[""W4390829281""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7127962472
W7130653856,A novel multi-task learning-based electrical energy consumption prediction method with application to a hot strip rolling mill process,10.1016/j.epsr.2026.112878,2026,2026-02-20,,article,"[""Kai Zhang"", ""Zongxu Cao"", ""Yali Wang"", ""Yibin Rui""]","[""Taiyuan Heavy Industry (China)"", ""University of Science and Technology Beijing""]","[""CN""]","[""Beijing"", ""Shanxi""]","[""W4316660809""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7130653856
W7162212290,Adaptive dynamic programming for controlling constrained nonlinear systems: a survey and recent advances,10.1080/21642583.2026.2671530,2026,2026-05-23,,article,"[""Bo Zhao"", ""Mingduo Lin"", ""Guoling Yuan""]","[""Beijing Normal University"", ""Southern University of Science and Technology""]","[""CN""]","[""Beijing"", ""Guangdong""]","[""W4390829281""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7162212290
W7131618216,An End-to-End Learning Model With Quantization Technology for Dynamic Prediction-Decision Joint-Making in Active Distribution Networks,10.1109/tsg.2026.3668484,2026,2026-02-26,,article,"[""Fenglin Cai"", ""Zhiming Dong"", ""Xiaodong Yang"", ""Jie Li"", ""Zhixiang Hao"", ""Yaoyao He"", ""Helong Li""]","[""Chongqing University of Science and Technology"", ""Hefei University of Technology""]","[""CN""]","[""Anhui"", ""Chongqing""]","[""W4413754711""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7131618216
W7164004175,"Artificial Intelligence-Empowered Trajectory Tracking Control for Autonomous Vehicles: A Survey on Applications, Frameworks, and Future Trends",10.1109/tsmc.2026.3699694,2026,2026-06-09,,article,"[""Xu Huang"", ""Shaobing Xu"", ""Yueming Cao"", ""Shangyi Li"", ""Jianqiang Wang"", ""Keqiang Li""]","[""Tsinghua University""]","[""CN""]","[""Beijing""]","[""W4393188243""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7164004175
W7164987453,Coordinated optimal scheduling of island micro water–energy nexus considering multi-source uncertainty and extreme risks,10.1063/5.0337442,2026,2026-05-01,,article,"[""Yudan Hou"", ""Alexis Pengfei Zhao"", ""Xianlong Li"", ""Longsheng Wang"", ""Da Xie""]","[""Environmental and Water Resources Engineering"", ""Shanghai Jiao Tong University"", ""Stanford University""]","[""CN"", ""IL"", ""US""]","[""California"", ""Haifa"", ""Shanghai""]","[""W4413754711""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7164987453
W7197003632,Decision-Oriented Machine Learning for Renewable-Dominated Power System Planning Under Uncertainty: A Review,10.2139/ssrn.7185818,2026,2026-01-01,"The API response omits is_authors_truncated; no false value has been invented. publication_date 2026-01-01 represents a year-only Crossref date, while SSRN reports written 2026-06-10 and posted 2026-08-06. Preserve this distinction if displaying full dates.",preprint,"[""Ishmael Fynn Cudjoe""]","[""University of Mines and Technology""]","[""GH""]","[""Western""]","[""W4413754711""]",False,False,False,,True,False,Google Scholar; OpenAlex,https://openalex.org/W7197003632
W7165128626,Deep Learning for Operation and Maintenance of Urban Lifeline Systems: A Comprehensive Review,10.1061/jitse4.iseng-2916,2026,2026-06-18,,article,"[""Xianfei Yin"", ""Junxiang Zhao"", ""Ruiyan Zheng""]","[""City University of Hong Kong""]","[""HK""]","[""Hong Kong S.A.R.""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7165128626
