row,target_doi,cited_work_id,scholar_result_id,citing_work_id,title,doi,year,authors,institutions,countries,states_provinces,duplicate_of_result_id,is_direct_self_citation,source_page_url,publication_url,retrieved_at
1,10.1109/tase.2023.3236306,W4316660809,DfMXTlnlS2kJ,W4415624368,Observer-Based Fuzzy Boundary Dissipative Control of Parabolic PDE System With Parameter Uncertainties Under Dynamic Quantization,10.1109/tsmc.2025.3622967,2025,"[""Teng‐Fei Li"", ""Xiao‐Heng Chang"", ""Ju H. Park""]","[""Foshan University"", ""Wuhan University of Science and Technology"", ""Yeungnam University""]","[""CN"", ""KR""]","[""Daegu"", ""Guangdong"", ""Hubei""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://ieeexplore.ieee.org/abstract/document/11219417/,2026-09-09 14:18:36 UTC
2,10.1109/tase.2023.3236306,W4316660809,sHwcQNhpVLwJ,W4412072274,Quantized dissipative control for fuzzy hot strip mill cooling system under input constraint via dynamic output feedback approach,10.1016/j.amc.2025.129615,2025,"[""Teng‐Fei Li"", ""Liming Ding"", ""Xiong Jun"", ""Haibing Li""]","[""Foshan University"", ""Huaihua University"", ""Wuhan University of Science and Technology""]","[""CN""]","[""Guangdong"", ""Hubei"", ""Hunan""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://www.sciencedirect.com/science/article/pii/S0096300325003418,2026-09-09 14:18:36 UTC
3,10.1109/tase.2023.3236306,W4316660809,WMK6N49D8YcJ,W4415220578,Multi-objective load distribution in strip hot rolling with multiple roller profiles based on RPK-Net and a distributed TDADE algorithm,10.1016/j.eswa.2025.130016,2025,"[""Yanjiu Zhong"", ""Qiang Zhang"", ""Shuai Chen"", ""Keke Li"", ""Daye Yang"", ""Linghui Hu""]","[""Anhui University"", ""Hefei University of Technology"", ""Shanghai Jiao Tong University"", ""Zhejiang Energy Group (China)""]","[""CN""]","[""Anhui"", ""Shanghai"", ""Zhejiang""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://www.sciencedirect.com/science/article/pii/S0957417425036322,2026-09-09 14:18:36 UTC
4,10.1109/tase.2023.3236306,W4316660809,WeEy30HoAk0J,W4402810904,Energy Consumption Prediction for Manufacturing in Industrial IoT Based on Heterogeneous GNN,10.1109/iccc62479.2024.10681781,2024,"[""Xuan Su"", ""Mingyan Li"", ""Qihao Li"", ""Chao Chen"", ""Songtao Guo"", ""Xu Wang""]","[""Chongqing University"", ""Jilin University""]","[""CN""]","[""Chongqing"", ""Jilin""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://ieeexplore.ieee.org/abstract/document/10681781/,2026-09-09 14:18:36 UTC
5,10.1109/tase.2023.3236306,W4316660809,M_QYGay2EsQJ,W7206203312,A hierarchical multi-task learning-based electrical energy consumption prediction method with application to the hot strip rolling mill process,10.1016/j.eswa.2026.134256,2026,"[""Kai Zhang"", ""Zongxu Cao"", ""Kaixiang Peng"", ""Yibin Rui""]","[""Taiyuan Heavy Industry (China)"", ""University of Science and Technology Beijing""]","[""CN""]","[""Beijing"", ""Shanxi""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://www.sciencedirect.com/science/article/pii/S0957417426031623,2026-09-09 14:18:36 UTC
6,10.1109/tase.2023.3236306,W4316660809,dG1zOkc36EEJ,W7160960716,Energy consumption prediction of hydraulic systems based on Archimedes Algorithm-Optimized Multi-Level information fusion,10.1016/j.eswa.2026.132810,2026,"[""Qing Pan"", ""Yifei Zhai"", ""Chenyang Wen"", ""Yuliang Wan"", ""Yibo Li"", ""Minghui Huang""]","[""Central South University""]","[""CN""]","[""Hunan""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://www.sciencedirect.com/science/article/pii/S0957417426017239,2026-09-09 14:18:36 UTC
7,10.1109/tase.2023.3236306,W4316660809,p3vNHseAzfgJ,W4405421706,Hybrid prediction model for strip width based on improved mechanism and data-driven model,10.1007/s42243-024-01400-5,2024,"[""Jia-liang Wang"", ""Jingcheng Wang"", ""Chaobo Chen"", ""Kangbo Dang"", ""Song Gao""]","[""Shanghai Jiao Tong University"", ""Xi'an Technological University""]","[""CN""]","[""Shaanxi"", ""Shanghai""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://link.springer.com/article/10.1007/s42243-024-01400-5,2026-09-09 14:18:36 UTC
8,10.1109/tase.2023.3236306,W4316660809,ZXz_CUV7LlYJ,W4388740257,A Novel Series-Concatenation Hybrid Prediction Model of Energy Consumption in Hot Strip Roughing Process With Multi-Step Rolling,10.1109/tase.2023.3299185,2023,"[""Yanjiu Zhong"", ""Jingcheng Wang"", ""Jun Rao"", ""Jiahui Xu"", ""Shunyu Wu""]","[""Shanghai Jiao Tong University""]","[""CN""]","[""Shanghai""]",,True,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://ieeexplore.ieee.org/abstract/document/10320311/,2026-09-09 14:18:36 UTC
9,10.1109/tase.2023.3236306,W4316660809,delyrF7NxsoJ,W4406802685,Mechanism- and data-driven algorithms of electrical energy consumption accounting and prediction for medium and heavy plate rolling,10.3934/era.2025019,2025,"[""Qiang Guo"", ""Zimeng Zhou"", ""Jie Li"", ""Fengwei Jing""]","[""University of Science and Technology Beijing""]","[""CN""]","[""Beijing""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://www.aimspress.com/aimspress-data/era/2025/1/PDF/era-33-01-019.pdf,2026-09-09 14:18:36 UTC
10,10.1109/tase.2023.3236306,W4316660809,_mBxlz8s6_sJ,W7130653856,A novel multi-task learning-based electrical energy consumption prediction method with application to a hot strip rolling mill process,10.1016/j.epsr.2026.112878,2026,"[""Kai Zhang"", ""Zongxu Cao"", ""Yali Wang"", ""Yibin Rui""]","[""Taiyuan Heavy Industry (China)"", ""University of Science and Technology Beijing""]","[""CN""]","[""Beijing"", ""Shanxi""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=0&hl=en,https://www.sciencedirect.com/science/article/pii/S0378779626001719,2026-09-09 14:18:36 UTC
11,10.1109/tase.2023.3236306,W4316660809,30NFZCk7dtUJ,W6903285081,An Automated Mechanical Property Testing System Based on Electric Field Assistance and Non-Contact Signal Measurement,10.1109/tim.2025.3548247,2025,"[""Xiaochuan Liu"", ""Ming Ming"", ""Lihua Du"", ""Huiyuan Xu"", ""Chenyu Li"", ""Shengzhe Li"", ""Denis J. Politis"", ""Di Zhang"", ""Heli Liu"", ""Xuefeng Chen""]","[""AviChina Industry & Technology (China)"", ""Imperial College London"", ""University of Cyprus"", ""Xi'an Jiaotong University""]","[""CN"", ""CY"", ""GB""]","[""Beijing"", ""England"", ""Nicosia"", ""Shaanxi""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=10&hl=en,https://ieeexplore.ieee.org/abstract/document/10912737/,2026-09-09 14:18:36 UTC
12,10.1109/tase.2023.3236306,W4316660809,JpUJCoyB24UJ,W7160597376,Smart City Energy Consumption Prediction Using Machine Learning,10.1109/icbiti65527.2025.11500812,2025,"[""Ghassan Issa"", ""Channaganu Paramaiah"", ""Khalid Almaazmi"", ""Ayman AbuBaker""]","[""Applied Science Private University"", ""Skyline University College""]","[""AE"", ""JO""]","[""Amman"", ""Emirate of Sharjah""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=10&hl=en,https://ieeexplore.ieee.org/abstract/document/11500812/,2026-09-09 14:18:36 UTC
13,10.1109/tase.2023.3236306,W4316660809,sB3K_PozSxMJ,W4391095559,Prediction of Strip Width in Finishing-Mill Group Based on PCA-PSO-LightGBM,10.1109/icicsp59554.2023.10390590,2023,"[""Jialiang Wang"", ""Runyun Yao"", ""Jingcheng Wang"", ""Jichao Li""]","[""Shanghai Jiao Tong University"", ""Xi'an Technological University""]","[""CN""]","[""Shaanxi"", ""Shanghai""]",,False,https://scholar.google.com/scholar?cites=17982578804515414946&start=10&hl=en,https://ieeexplore.ieee.org/abstract/document/10390590/,2026-09-09 14:18:36 UTC
14,10.1016/j.eswa.2024.124508,W4399709078,8ruAaEWj6usJ,W4408960580,Adaptive sparse lightweight multi-scale hybrid network for remote sensing image semantic segmentation,10.1016/j.eswa.2025.127347,2025,"[""Haonan Sun"", ""Xiaohui He"", ""Haofei Li"", ""Jinlan Kong"", ""Mengjia Qiao"", ""Xijie Cheng"", ""Panle Li"", ""Jian Zhang"", ""Renyi Liu"", ""Jiandong Shang""]","[""Zhejiang University"", ""Zhengzhou University""]","[""CN""]","[""Henan"", ""Zhejiang""]",,False,https://scholar.google.com/scholar?cites=10782110211194483263&start=0&hl=en,https://www.sciencedirect.com/science/article/pii/S0957417425009698,2026-09-09 14:18:36 UTC
15,10.1016/j.eswa.2024.124508,W4399709078,WRbX_5LR948J,W4413754711,End-to-End Stochastic Predict-Then-Optimize for Cost-Efficient Water-Energy Resource Scheduling,10.1109/tsg.2025.3601238,2025,"[""Shunyu Wu"", ""Jingcheng Wang"", ""Haotian Xu"", ""Yanjiu Zhong"", ""Jun Rao""]","[""Hefei University of Technology"", ""Ministry of Education of the People's Republic of China"", ""Shandong University"", ""Shanghai Jiao Tong University""]","[""CN""]","[""Anhui"", ""Beijing"", ""Shandong"", ""Shanghai""]",,True,https://scholar.google.com/scholar?cites=10782110211194483263&start=0&hl=en,https://ieeexplore.ieee.org/abstract/document/11142824/,2026-09-09 14:18:36 UTC
16,10.1016/j.eswa.2024.124508,W4399709078,YHgFpVm4duMJ,W4412533860,Optimizing supply chain operations using advanced Time-Series Mixer models for demand forecasting and inventory under uncertain demand,10.1016/j.eswa.2025.128955,2025,"[""Thị Ngọc Anh Nguyễn"", ""Thị Ngọc Anh Nguyễn"", ""Thi Xuan Hoa Nguyen"", ""Thi Xuan Hoa Nguyen"", ""Ngoc Thang Tran"", ""Thi Ha Nguyen"", ""Thi Ha Nguyen"", ""Phuong Anh Nguyen"", ""Hai Anh Vu""]","[""Hanoi University of Science and Technology""]","[""VN""]","[""Hanoi""]",,False,https://scholar.google.com/scholar?cites=10782110211194483263&start=0&hl=en,https://www.sciencedirect.com/science/article/pii/S0957417425025722,2026-09-09 14:18:36 UTC
